,userName,score,at,content
751,Hengky Yuli Saputra,1,2021-04-01 05:21:09,Aku kasih bintang 1 tidak seperti dulu bisa nonton free dan prabayar kalau sekarang setelah saya update versi baru memulai login akun sudah di suruh bayar sebelum masuk ke menu padahal tayangan filem di di dalam kebanyakan filem layar lebar yang sudah di tayang di televisi. Oke aku unistal dan berahli yang lain saja.
752,irwan xg,1,2021-04-01 00:11:05,"Ya elah mau masuk aja harus daftar pembayaran dulu mana lagi pembayarannya pake kartu kredit dan kartu debit nggak ada metode pembayaran lain... Aplikasi tolol, apa cuma khusus orang tertentu aja misalnya orang yang punya uang banyak dan khusus untuk para artis gitu, aplikasi gk jelas nyesel gua sudah download nih aplikasi mana lagi sudah pkaet unlimited Netflix lagi eh pas mau masuk malah di suruh bayar dulu, kecuali pembayarannya ada metode pembayaran lewat via pulsa/Alfamart/Indomaret/ dll"
753,Ratih Ktp,1,2021-03-29 00:45:52,"Tolong buat aplikasi netflix metode pembayarannya diubah, yg beri rating ngeluh garagara metode pembayaran semua. Gak semua orang punya kartu debit, visa dan yang lainnya. Mohon berbaik hati"
754,Devi Chungiarto,5,2021-03-27 08:47:02,"Tampilannya user friendly, movie dan dramanya juga banyak, hanya sayangnya hanya beberapa yang di tampilkan sesuai yang kita nonton dan yang kita sukai, but overall aku suka, kualitasnya juga jernih, sedikit masukan mungkin untuk audionya boleh di kembangkan lagi karena ada beberapa movie yang audionya agak kecil. Sukses selalu."
755,D Three,3,2021-03-23 20:59:15,"Tuk Film lumayan ok walaupun kurang Komplit, dan tuk Audio pada saat play kadang terputus bila menggunakan Soundbar sedangkan play menggunakan Aplikasi sebelah baik - baik saja tak ada kendala apapun.. Entahlah apa yang mesti saya perbuat mungkin berhenti berlangganan."
756,Khatrina Sarmila,3,2021-03-23 01:32:54,Kenapa setelah di-update film yang alagi ditonton malah ilang di Netflix. Sudah dicari diaktivitas malah tidak terhubung ke Netflix. Padahal kalo film lain mah bisa.. Ini gimana yah
757,Ilham Siswadi,2,2021-03-19 05:19:04,"Update aplikasi baru-baru ni agak kurang nyaman ya. Lagi enak nonton kalo kita rewind, cerahin layar atau sentuh layar aja ga sengaja tiba-tiba filmnya macet-macet dan bahkan kedap kedip gitu kayak tv error'. Tolong dong diperbaiki aplikasi nya makin parah"
758,izhatul,5,2021-03-13 01:15:17,"Sangat puas menggunakan Netflix, saya sekeluarga bisa menikmati film2 atau serial nya dgn lancar dan uptudate. Harga premiumnya jg terjangkau sekali... Terima kasih Netflix.."
759,Samuel Clinton Widjaya,1,2021-03-11 00:56:54,"aplikasi sulit untuk berlangganan dengan biaya langganan yang sangat mahal, metode prmbayaran hanya satu hanya memakai kartu kerdit, lalu aplikasi maupun website selalu error. Kepada pihak Netflix Indonesia agar mengkondisikan metode pembayaran, dan sistem aplikasinya serta biaya yang dikeluarkan untuk berlangganan, agar semua pemakai aplikasi dapat nyaman dan mudah berlangganan. mohon dimengerti pada saat pandemin COVID19 ini. Terimakasih."
760,syeikha ariani,2,2021-03-10 07:22:47,"Metode pembayarannya divariasikan lagi dong, seperti gopay/ovo/shopeepay/dana/link, jangan cuma kartu kredit/debit. Jadi yang masih pelajar bisa berlangganan dengan mudah. Tolong ya..."
761,toedi saputra,3,2021-03-09 11:54:26,"Untuk netflix indonesia , Saya suka dengan adanya netflix ,mungkin bisa berexperimen nonton film bioskop tapi flexible, tapi menurut saya ,ini indonesia mbo yao untuk cara bayar langganan bisa lebih flrxible juga ,..dan sampai sekarang ku ga bisa berlangganan karna harus mengikuti tatacara mereka yang menurut aku ga flexible, ...aku sich berharap ada solusi ,yaitu dengan memasukan e walet ,ovo.link .dan teman temanya sebagai alat pembyaran untuk berlangganan...."
762,Ayu Santriwati,4,2021-03-06 15:23:24,"Aplikasi buat orang kaya, apalah daya kita yang gak punya kartu debit segala macam tu. Saran gue sih biar semua bisa login, tolong tambahkan cara pembayaran pake pulsa kek biar lebih mudah transaksinya."
763,Putri Cantika,1,2021-03-04 07:56:28,"Cara pembayaran nya di tambah lagi dong, susah kalo mau berlangganan, nggak bisa nonton percuma kalo bagus doang mah, yang bisa nonton kalangan atas dong, ayo dong di tambahkan cara pembayaran nya"
764,Puspa djuliana01,1,2021-03-01 01:01:56,"Ga ngerti deh kenapa baru download harus berlangganan,ga bisa langsung ke halaman aja gitu,pas mau nonton baru harus bayar gitu..kalo dari awal udah di ribetin bayar kan males daftar akun nya,mana pembayaran debit doang..tambahin pake metode lain biar orang yg ga punya debit bisa ikut nonton! Sumpah bad banget"
